force,friction,agent_type,success,completion_time,max_position,avg_velocity,total_energy,avg_energy,control_effort,final_position,final_velocity,efficiency
0.01,0.06571428571428571,naive,false,100,-0.368721241570462,0.0007377509878216813,-11.957357736712954,-0.11957357736712954,100.0,-0.4262249012178319,0.0003243879789728626,0.0
0.01,0.06571428571428571,naive,false,100,-0.368721241570462,0.0007377509878216813,-11.957357736712954,-0.11957357736712954,100.0,-0.4262249012178319,0.0003243879789728626,0.0
0.01,0.06571428571428571,active_inference,false,100,-0.10136832703725165,0.0013051068765306836,-10.80920049380385,-0.1080920049380385,145.75372198566384,-0.3681842054704011,0.0009046492633936459,0.0
0.01,0.06571428571428571,active_inference,false,100,-0.10136832703725165,0.0013051068765306836,-10.80920049380385,-0.1080920049380385,145.75372198566384,-0.3681842054704011,0.0009046492633936459,0.0
0.01,0.08428571428571428,naive,false,100,-0.3738246474394478,0.0007528245403214897,-11.963332535356109,-0.1196333253535611,100.0,-0.42471754596785116,0.00013321250874496517,0.0
0.01,0.08428571428571428,naive,false,100,-0.3738246474394478,0.0007528245403214897,-11.963332535356109,-0.1196333253535611,100.0,-0.42471754596785116,0.00013321250874496517,0.0
0.01,0.08428571428571428,active_inference,false,100,-0.15269602871728877,0.0010822913959026746,-11.101823989971585,-0.11101823989971585,147.2219489435999,-0.3906885690138297,0.00015777803459295428,0.0
0.01,0.08428571428571428,active_inference,false,100,-0.15269602871728877,0.0010822913959026746,-11.101823989971585,-0.11101823989971585,147.2219489435999,-0.3906885690138297,0.00015777803459295428,0.0
0.01,0.10285714285714286,naive,false,100,-0.37856969014334596,0.0007583843463551769,-11.96749815551528,-0.1196749815551528,100.0,-0.42416156536448235,4.994815911344222e-5,0.0
0.01,0.10285714285714286,naive,false,100,-0.37856969014334596,0.0007583843463551769,-11.96749815551528,-0.1196749815551528,100.0,-0.42416156536448235,4.994815911344222e-5,0.0
0.01,0.10285714285714286,active_inference,false,100,-0.19475667290597218,0.0009789803804352646,-11.306512070869912,-0.11306512070869912,147.2219489435999,-0.4011229815760382,8.919328875345127e-5,0.0
0.01,0.10285714285714286,active_inference,false,100,-0.19475667290597218,0.0009789803804352646,-11.306512070869912,-0.11306512070869912,147.2219489435999,-0.4011229815760382,8.919328875345127e-5,0.0
0.01,0.12142857142857143,naive,false,100,-0.3829846236092341,0.0007604276391253296,-11.970657562610803,-0.11970657562610804,100.0,-0.4239572360874669,1.71156841921212e-5,0.0
0.01,0.12142857142857143,naive,false,100,-0.3829846236092341,0.0007604276391253296,-11.970657562610803,-0.11970657562610804,100.0,-0.4239572360874669,1.71156841921212e-5,0.0
0.01,0.12142857142857143,active_inference,false,100,-0.22933574992396175,0.0009310984304072372,-11.445676030472752,-0.11445676030472753,147.2219489435999,-0.40595905852886904,7.927079932061598e-5,0.0
0.01,0.12142857142857143,active_inference,false,100,-0.22933574992396175,0.0009310984304072372,-11.445676030472752,-0.11445676030472753,147.2219489435999,-0.40595905852886904,7.927079932061598e-5,0.0
0.01,0.14,naive,false,100,-0.38709560103719415,0.00076117576169967,-11.973199138934662,-0.11973199138934662,100.0,-0.423882423830033,5.256302481094349e-6,0.0
0.01,0.14,naive,false,100,-0.38709560103719415,0.00076117576169967,-11.973199138934662,-0.11973199138934662,100.0,-0.423882423830033,5.256302481094349e-6,0.0
0.01,0.14,active_inference,false,100,-0.2580157425607422,0.0009090277024415991,-11.545569262246664,-0.11545569262246663,147.2219489435999,-0.4081882020533983,6.845613895704004e-5,0.0
