force,friction,agent_type,success,target_time,total_energy,efficiency,stability,oscillations,control_effort,max_position,avg_velocity
0.1525,0.1525,active,false,200,0.3168708756810094,0.0,0.0415400404407186,2,59.80240932370931,1.9131572211560832,0.017721629204079204
0.1525,0.1525,active,false,200,0.3168708756810094,0.0,0.0415400404407186,2,59.80240932370931,1.9131572211560832,0.017721629204079204
0.1525,0.2,naive,false,200,1.0570258760422293,0.0,0.07234523869644033,27,200.0,2.87451073031714,0.023274588940173906
0.1525,0.2,naive,false,200,1.0570258760422293,0.0,0.07234523869644033,27,200.0,2.87451073031714,0.023274588940173906
0.1525,0.2,active,false,200,0.3448885165152962,0.0,0.04277222758844982,10,60.42574170950064,1.8988067012818333,0.01806454259117452
0.1525,0.2,active,false,200,0.3448885165152962,0.0,0.04277222758844982,10,60.42574170950064,1.8988067012818333,0.01806454259117452
0.2,0.01,naive,false,200,1.4234253833712878,0.0,0.37337547271462496,26,200.0,3.9224898363242247,0.3210617038240382
0.2,0.01,naive,false,200,1.4234253833712878,0.0,0.37337547271462496,26,200.0,3.9224898363242247,0.3210617038240382
0.2,0.01,active,false,200,0.22996358379453233,0.0,0.030238797495135254,5,40.33008717204312,0.6747597434333382,0.01039820654083504
0.2,0.01,active,false,200,0.22996358379453233,0.0,0.030238797495135254,5,40.33008717204312,0.6747597434333382,0.01039820654083504
0.2,0.0575,naive,false,200,1.3464869328921716,0.0,0.1690227122831439,30,200.0,3.692255005439553,0.09031644145830216
0.2,0.0575,naive,false,200,1.3464869328921716,0.0,0.1690227122831439,30,200.0,3.692255005439553,0.09031644145830216
0.2,0.0575,active,false,200,0.23981328617794057,0.0,0.03162529434762185,10,39.58177965969224,0.7164843845265786,0.010262565752840114
0.2,0.0575,active,false,200,0.23981328617794057,0.0,0.03162529434762185,10,39.58177965969224,0.7164843845265786,0.010262565752840114
0.2,0.105,naive,false,200,1.3281704156968794,0.0,0.12455643386495342,30,200.0,3.5137700774016003,0.05013518224497786
0.2,0.105,naive,false,200,1.3281704156968794,0.0,0.12455643386495342,30,200.0,3.5137700774016003,0.05013518224497786
0.2,0.105,active,false,200,0.2387088461496305,0.0,0.03024763575529654,3,33.16168700225179,0.7298622645527078,0.010237888255642192
0.2,0.105,active,false,200,0.2387088461496305,0.0,0.03024763575529654,3,33.16168700225179,0.7298622645527078,0.010237888255642192
0.2,0.1525,naive,false,200,1.3172664784649009,0.0,0.10288706773689724,30,200.0,3.336472848610384,0.035066225222929924
0.2,0.1525,naive,false,200,1.3172664784649009,0.0,0.10288706773689724,30,200.0,3.336472848610384,0.035066225222929924
0.2,0.1525,active,false,200,0.25161438878700276,0.0,0.03306312360032988,6,34.09522416371656,0.7908177698071571,0.008963769866176695
0.2,0.1525,active,false,200,0.25161438878700276,0.0,0.03306312360032988,6,34.09522416371656,0.7908177698071571,0.008963769866176695
0.2,0.2,naive,false,200,1.3089350392281494,0.0,0.08943506102564529,30,200.0,3.1843752993725527,0.027668059243016345
0.2,0.2,naive,false,200,1.3089350392281494,0.0,0.08943506102564529,30,200.0,3.1843752993725527,0.027668059243016345
0.2,0.2,active,false,200,0.2734702914779203,0.0,0.04083623560522902,4,35.36365293875933,1.1605803729430075,0.011069495689298233
0.2,0.2,active,false,200,0.2734702914779203,0.0,0.04083623560522902,4,35.36365293875933,1.1605803729430075,0.011069495689298233
